Time[sec], DTG[m], Vwx[m/s], Vwy[m/s], Vwx/dh[(m_horz/s)/m_vert], Vwy/dh[(m_horz/s)/m_vert], Temp[K]
164,213416,0,0,-0,-0,218.8080001
165,213209,0,0,-0,-0,218.8080001
166,213001,0,0,-0,-0,218.8080001
167,212794,0,0,-0,-0,218.8080001
168,212587,0,0,-0,-0,218.8080001
169,212380,0,0,-0,-0,218.8080001
170,212172,0,0,-0,-0,218.8080001
171,211965,0,0,-0,-0,218.8080001
172,211758,0,0,-0,-0,218.8080001
173,211550,0,0,-0,-0,218.8080001
174,211343,0,0,-0,-0,218.8080001
175,211136,0,0,-0,-0,218.8080001
176,210928,0,0,-0,-0,218.8080001
177,210721,0,0,-0,-0,218.8080001
178,210514,0,0,-0,-0,218.8080001
179,210307,0,0,-0,-0,218.8080001
180,210099,0,0,-0,-0,218.8080001
181,209892,0,0,-0,-0,218.8080001
182,209685,0,0,-0,-0,218.8080001
183,209477,0,0,-0,-0,218.8080001
184,209270,0,0,-0,-0,218.8080001
185,209063,0,0,-0,-0,218.8080001
186,208856,0,0,-0,-0,218.8080001
187,208648,0,0,-0,-0,218.8080001
188,208441,0,0,-0,-0,218.8080001
189,208234,0,0,-0,-0,218.8080001
190,208026,0,0,-0,-0,218.8080001
191,207819,0,0,-0,-0,218.8080001
192,207612,0,0,-0,-0,218.8080001
193,207404,0,0,-0,-0,218.8080001
194,207197,0,0,-0,-0,218.8080001
195,206990,0,0,-0,-0,218.8080001
196,206783,0,0,-0,-0,218.8080001
197,206575,0,0,-0,-0,218.8080001
198,206368,0,0,-0,-0,218.8080001
199,206161,0,0,-0,-0,218.8080001
200,205953,0,0,-0,-0,218.8080001
201,205746,0,0,-0,-0,218.8080001
202,205539,0,0,-0,-0,218.8080001
203,205332,0,0,-0,-0,218.8080001
204,205124,0,0,-0,-0,218.8080001
205,204917,0,0,-0,-0,218.8080001
206,204710,0,0,-0,-0,218.8080001
207,204502,0,0,-0,-0,218.8080001
208,204295,0,0,-0,-0,218.8080001
209,204088,0,0,-0,-0,218.8080001
210,203880,0,0,-0,-0,218.8080001
211,203673,0,0,-0,-0,218.8080001
212,203466,0,0,-0,-0,218.8080001
213,203259,0,0,-0,-0,218.8080001
214,203051,0,0,-0,-0,218.8080001
215,202844,0,0,-0,-0,218.8080001
216,202637,0,0,-0,-0,218.8080001
217,202429,0,0,-0,-0,218.8080001
218,202222,0,0,-0,-0,218.8080001
219,202015,0,0,-0,-0,218.8080001
220,201808,0,0,-0,-0,218.8080001
221,201600,0,0,-0,-0,218.8080001
222,201393,0,0,-0,-0,218.8080001
223,201186,0,0,-0,-0,218.8080001
224,200978,0,0,-0,-0,218.8080001
225,200771,0,0,-0,-0,218.8080001
226,200564,0,0,-0,-0,218.8080001
227,200356,0,0,-0,-0,218.8080001
228,200149,0,0,-0,-0,218.8080001
229,199942,0,0,-0,-0,218.8080001
230,199735,0,0,-0,-0,218.8080001
231,199527,0,0,-0,-0,218.8080001
232,199320,0,0,-0,-0,218.8080001
233,199113,0,0,-0,-0,218.8080001
234,198905,0,0,-0,-0,218.8080001
235,198698,0,0,-0,-0,218.8080001
236,198491,0,0,-0,-0,218.8080001
237,198284,0,0,-0,-0,218.8080001
238,198076,0,0,-0,-0,218.8080001
239,197869,0,0,-0,-0,218.8080001
240,197662,0,0,-0,-0,218.8080001
241,197454,0,0,-0,-0,218.8080001
242,197247,0,0,-0,-0,218.8080001
243,197040,0,0,-0,-0,218.8080001
244,196832,0,0,-0,-0,218.8080001
245,196625,0,0,-0,-0,218.8080001
246,196418,0,0,-0,-0,218.8080001
247,196211,0,0,-0,-0,218.8080001
248,196003,0,0,-0,-0,218.8080001
249,195796,0,0,-0,-0,218.8080001
250,195588,0,0,-0,-0,218.8080001
251,195381,0,0,-0,-0,218.8080001
252,195173,0,0,-0,-0,218.8080001
253,194965,0,0,-0,-0,218.8080001
254,194756,0,0,-0,-0,218.8080001
255,194548,0,0,-0,-0,218.8080001
256,194339,0,0,-0,-0,218.8080001
257,194130,0,0,-0,-0,218.8080001
258,193921,0,0,-0,-0,218.8080001
259,193711,0,0,-0,-0,218.8080001
260,193501,0,0,-0,-0,218.8080001
261,193291,0,0,-0,-0,218.8080001
262,193081,0,0,-0,-0,218.8080001
263,192871,0,0,-0,-0,218.8080001
264,192660,0,0,-0,-0,218.8080001
265,192449,0,0,-0,-0,218.8080001
266,192238,0,0,-0,-0,218.8080001
267,192026,0,0,-0,-0,218.8080001
268,191814,0,0,-0,-0,218.8080001
269,191602,0,0,-0,-0,218.8080001
270,191390,0,0,-0,-0,218.8080001
271,191178,0,0,-0,-0,218.8080001
272,190965,0,0,-0,-0,218.8080001
273,190752,0,0,-0,-0,218.8080001
274,190539,0,0,-0,-0,218.8080001
275,190326,0,0,-0,-0,218.8080001
276,190112,0,0,-0,-0,218.8080001
277,189898,0,0,-0,-0,218.8080001
278,189684,0,0,-0,-0,218.8080001
279,189470,0,0,-0,-0,218.8080001
280,189255,0,0,-0,-0,218.8080001
