HPT_j,x[m],y[m],DTG[m],Segment_Type,Course[rad],Turn_Center_x[m],Turn_Center_y[m],Angle_Start_of_Turn[rad],Angle_End_of_Turn[rad],R[m],GS[m/s],Bank_Angle[deg],Lat[deg],Lon[deg],Turn_Center_Lat[deg],Turn_Center_Lon[deg]
0,0.0,0.0,0.0,straight,0.800722,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.4282945,-111.8,0.0,0.0
1,50183.7923115142,51745.869807478,72083.6184781095,turn,0.800722,60959.0609728138,41295.87937130831,2.3715183438409997,2.240314822761,15010.28697,161.106929607294,10.0,33.427120789845,-111.26039996871,33.799364375768,-111.14105932330999
2,51643.5492669259,53065.754328022595,74053.0209806412,straight,0.6695180000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.42705151837,-111.24470493579399,0.0,0.0
3,68417.1921353946,66341.6019531042,95444.6834976901,turn,0.6695180000000001,77161.4697933863,55293.46440889369,2.240314822761,1.0632053298620001,14089.8451,192.41533150902902,15.0,33.426985554510004,-111.06134402975,33.925317596384,-110.96518446934401
4,84010.168540642,67606.8335832985,112029.973918957,straight,5.775594,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.425922692495,-110.88950402243401,0.0,0.0
5,107302.046338418,54651.885832162596,138682.220401781,turn,5.775594,115013.920735617,68517.17031666472,4.204797983451,4.717743159718,15865.65853,201.997272694987,14.694796860838,33.426254372238,-110.639092622535,34.04391099604,-110.555864832922
6,115098.867910755,52651.73919955391,146820.43341245403,straight,0.005354,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.426252466777,-110.55526804510001,0.0,0.0
7,212673.301405837,53174.1752071124,244396.26551891497,straight,0.005354,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.421411264406,-109.5,0.0,0.0
