Time[sec], Vias_c[m/s]
152,120.6332767
153,120.6332767
154,120.6332767
155,120.6332767
156,120.6332767
157,120.6332767
158,120.6332767
159,120.6332767
160,120.6332767
161,120.6332767
162,120.6332767
163,120.6332767
164,120.6332767
165,120.6332767
166,120.6332767
167,120.6332767
168,120.6332767
169,120.6332767
170,120.6332767
171,120.6332767
172,120.6332767
173,120.6332767
174,120.6332767
175,120.6332767
176,120.6332767
177,120.6332767
178,120.6332767
179,120.6332767
180,120.6332767
181,120.6332767
182,120.6332767
183,120.6332767
184,120.6332767
185,120.6332767
186,120.6332767
187,120.6332767
188,120.6332767
189,120.6332767
190,120.6332767
191,120.6332767
192,120.6332767
193,120.6332767
194,120.6332767
195,120.6332767
196,120.6332767
197,120.6332767
198,120.6332767
199,120.6332767
200,120.6332767
201,120.6332767
202,120.6332767
203,120.6332767
204,120.6332767
205,120.6332767
206,120.6332767
207,120.6332767
208,120.6332767
209,120.6332767
210,120.6332767
211,120.6332767
212,120.6332767
213,120.6332767
214,120.6332767
215,120.6332767
216,120.6332767
217,120.6332767
218,120.6332767
219,120.6332767
220,120.6332767
221,120.6332767
222,120.6332767
223,120.6332767
224,120.6332767
225,120.6332767
226,120.6332767
227,120.6332767
228,120.6332767
229,120.6332767
230,120.6332767
231,120.6332767
232,120.6332767
233,120.6332767
234,120.6332767
235,120.6332767
236,120.6332767
237,120.6332767
238,120.6332767
239,120.6332767
240,120.6332767
241,141.2110545
242,141.2110545
243,141.2110545
244,141.2110545
245,141.2110545
246,141.2110545
247,141.2110545
248,141.2110545
249,141.2110545
250,141.2110545
251,141.2110545
252,141.2110545
253,141.2110545
254,141.2110545
255,141.2110545
256,141.2110545
257,141.2110545
258,141.2110545
259,141.2110545
260,141.2110545
261,141.2110545
262,141.2110545
263,141.2110545
264,141.2110545
265,141.2110545
266,141.2110545
267,141.2110545
268,141.2110545
269,141.2110545
270,141.2110545
271,141.2110545
272,141.2110545
273,141.2110545
274,141.2110545
275,141.2110545
276,141.2110545
277,141.2110545
278,141.2110545
279,141.2110545
280,141.2110545
281,141.2110545
282,141.2110545
283,141.2110545
284,141.2110545
285,141.2110545
286,141.2110545
287,141.2110545
288,141.2110545
289,141.2110545
290,141.2110545
291,141.2110545
292,141.2110545
293,141.2110545
294,141.2110545
295,141.2110545
296,141.2110545
297,141.2110545
298,141.2110545
299,141.2110545
300,141.2110545
301,141.2110545
302,141.2110545
303,141.2110545
304,141.2110545
305,141.2110545
306,141.2110545
307,141.2110545
308,141.2110545
309,141.2110545
310,141.2110545
311,141.2110545
312,141.2110545
313,141.2110545
314,141.2110545
315,141.2110545
316,141.2110545
317,141.2110545
318,141.2110545
319,141.2110545
320,141.2110545
321,141.2110545
322,141.2110545
323,141.2110545
324,141.2110545
325,141.2110545
326,141.2110545
327,141.2110545
328,141.2110545
329,141.2110545
330,141.2110545
331,141.2110545
332,141.2110545
333,141.2110545
334,141.2110545
335,141.2110545
336,141.2110545
337,141.2110545
338,141.2110545
339,141.2110545
340,141.2110545
341,141.2110545
342,141.2110545
343,141.2110545
344,141.2110545
345,141.2110545
346,141.2110545
347,141.2110545
348,141.2110545
349,141.2110545
350,141.2110545
351,141.2110545
352,141.2110545
353,141.2110545
354,141.2110545
355,141.2110545
356,141.2110545
357,141.2110545
358,141.2110545
359,141.2110545
360,141.2110545
361,141.2110545
362,141.2110545
363,141.2110545
364,141.2110545
365,141.2110545
366,141.2110545
367,141.2110545
368,141.2110545
369,141.2110545
370,141.2110545
371,141.2110545
372,141.2110545
373,141.2110545
374,141.2110545
375,141.2110545
376,141.2110545
377,141.2110545
378,141.2110545
379,141.2110545
380,141.2110545
381,141.2110545
382,141.2110545
383,141.2110545
384,141.2110545
385,141.2110545
386,141.2110545
387,141.2110545
388,141.2110545
389,141.2110545
390,141.2110545
391,141.2110545
392,141.2110545
393,141.2110545
394,141.2110545
395,141.2110545
396,141.2110545
397,141.2110545
398,141.2110545
399,141.2110545
400,141.2110545
401,141.2110545
402,141.2110545
403,141.2110545
404,141.2110545
405,141.2110545
406,141.2110545
407,141.2110545
408,141.2110545
409,141.2110545
410,141.2110545
411,141.2110545
412,141.2110545
413,141.2110545
414,141.2110545
415,141.2110545
416,141.2110545
417,141.2110545
418,141.2110545
419,141.2110545
420,141.2110545
421,141.2110545
422,141.2110545
423,141.2110545
424,141.2110545
425,141.2110545
426,141.2110545
427,141.2110545
428,141.2110545
429,141.2110545
430,141.2110545
431,141.2110545
432,141.2110545
433,141.2110545
434,141.2110545
435,141.2110545
436,141.2110545
437,141.2110545
438,141.2110545
439,141.2110545
440,141.2110545
441,141.2110545
442,141.2110545
443,141.2110545
444,141.2110545
445,141.2110545
446,141.2110545
447,141.2110545
448,141.2110545
449,141.2110545
450,141.2110545
451,141.2110545
452,141.2110545
453,141.2110545
454,141.2110545
455,141.2110545
456,141.2110545
457,141.2110545
458,141.2110545
459,141.2110545
460,141.2110545
461,141.2110545
462,141.2110545
463,141.2110545
