Time[sec], V(tas)[m/s], x[m], y[m], h[m], Lat[deg], Lon[deg]
125,207.2684135,186689.9997,52857.80632,10667.99998,33.89941818,-109.7929245
126,207.2720381,186482.7357,52856.89192,10667.99998,33.89940447,-109.7951573
127,207.2754044,186275.4717,52855.97752,10667.99998,33.89939072,-109.7973901
128,207.2784587,186068.2077,52855.36792,10667.99998,33.89937967,-109.7996229
129,207.2811762,185860.9437,52854.45352,10667.99998,33.89936584,-109.8018556
130,207.2835537,185653.6797,52853.53912,10667.99998,33.89935197,-109.8040884
131,207.2856024,185446.4157,52852.92952,10667.99998,33.8993408,-109.8063212
132,207.2873431,185239.1517,52852.01512,10667.99998,33.89932685,-109.8085539
133,207.2888026,185031.8877,52851.10072,10667.99998,33.89931286,-109.8107867
134,207.2900104,184824.6237,52850.49112,10667.99998,33.89930156,-109.8130195
135,207.2909969,184617.3597,52849.57672,10667.99998,33.89928749,-109.8152522
136,207.2917919,184410.0957,52848.96712,10667.99998,33.89927612,-109.817485
137,207.2924234,184202.5269,52848.05272,10667.99998,33.89926195,-109.8197211
138,207.2929174,183995.2629,52847.13832,10667.99998,33.89924776,-109.8219538
139,207.2932971,183787.9989,52846.52872,10667.99998,33.89923626,-109.8241866
140,207.293583,183580.7349,52845.61432,10667.99998,33.89922199,-109.8264193
141,207.2937931,183373.4709,52844.69992,10667.99998,33.89920767,-109.8286521
142,207.2939426,183166.2069,52844.09032,10667.99998,33.89919606,-109.8308849
143,207.2940445,182958.9429,52843.17592,10667.99998,33.89918166,-109.8331176
144,207.2941096,182751.6789,52842.26152,10667.99998,33.89916722,-109.8353504
145,207.2941469,182544.4149,52841.65192,10667.99998,33.89915548,-109.8375831
146,207.2941635,182337.1509,52840.73752,10667.99998,33.89914097,-109.8398159
147,207.2941652,182129.8869,52840.12792,10667.99998,33.89912915,-109.8420486
148,207.2941567,181922.3181,52839.21352,10667.99998,33.89911454,-109.8442847
149,207.2941415,181715.0541,52838.29912,10667.99998,33.8990999,-109.8465174
150,207.2941222,181507.7901,52837.68952,10667.99998,33.89908796,-109.8487502
151,207.2941009,181300.5261,52836.77512,10667.99998,33.89907324,-109.8509829
152,207.2940792,181093.2621,52835.86072,10667.99998,33.89905848,-109.8532156
153,207.2940579,180885.9981,52835.25112,10667.99998,33.89904642,-109.8554484
154,207.2940379,180678.7341,52834.33672,10667.99998,33.89903157,-109.8576811
155,207.2940194,180471.4701,52833.42232,10667.99998,33.89901669,-109.8599139
156,207.2940029,180264.2061,52832.81272,10667.99998,33.89900451,-109.8621466
157,207.2939883,180056.9421,52831.89832,10667.99998,33.89898955,-109.8643793
158,207.2939755,179849.6781,52831.28872,10667.99998,33.89897728,-109.8666121
159,207.2939647,179642.1093,52830.37432,10667.99998,33.89896223,-109.8688481
160,207.2939555,179434.8453,52829.45992,10667.99998,33.89894714,-109.8710808
161,207.2939478,179227.5813,52828.85032,10667.99998,33.89893476,-109.8733136
162,207.2939415,179020.3173,52827.93592,10667.99998,33.89891959,-109.8755463
163,207.2939364,178813.0533,52827.02152,10667.99998,33.89890439,-109.877779
164,207.2939323,178605.7893,52826.41192,10667.99998,33.89889188,-109.8800117
165,207.2939291,178398.5253,52825.49752,10667.99998,33.89887659,-109.8822445
166,207.2939266,178191.2613,52824.58312,10667.99998,33.89886127,-109.8844772
167,207.2939246,177983.9973,52823.97352,10667.99998,33.89884864,-109.8867099
168,207.2939232,177776.7333,52823.05912,10667.99998,33.90140772,-109.8916345
169,207.2939222,177569.4693,52822.14472,10667.99998,33.90140667,-109.8938675
170,207.2939215,177361.9005,52821.53512,10667.99998,33.90140832,-109.8961038
171,207.293921,177154.6365,52820.62072,10667.99998,33.90140718,-109.8983368
172,207.2939207,176947.3725,52820.01112,10667.99998,33.90140875,-109.9005698
173,207.2939205,176740.1085,52819.09672,10667.99998,33.90140753,-109.9028028
174,207.2939205,176532.8445,52818.18232,10667.99998,33.90140627,-109.9050358
175,207.2939205,176325.5805,52817.57272,10667.99998,33.90140771,-109.9072688
176,207.2939206,176118.3165,52816.65832,10667.99998,33.90140637,-109.9095018
177,207.2939207,175911.0525,52815.74392,10667.99998,33.90140499,-109.9117348
178,207.2939208,175703.7885,52815.13432,10667.99998,33.90140631,-109.9139678
179,207.2939209,175496.5245,52814.21992,10667.99998,33.90140485,-109.9162008
180,207.293921,175288.9557,52813.30552,10667.99998,33.90140336,-109.9184371
181,207.2939211,175081.6917,52812.69592,10667.99998,33.90140455,-109.9206701
182,207.2939213,174874.4277,52811.78152,10667.99998,33.90140297,-109.9229032
183,207.2939214,174667.1637,52811.17192,10667.99998,33.90140409,-109.9251362
184,207.2939214,174459.8997,52810.25752,10667.99998,33.90140242,-109.9273692
185,207.2939215,174252.6357,52809.34312,10667.99998,33.90140072,-109.9296022
186,207.2939216,174045.3717,52808.73352,10667.99998,33.90140172,-109.9318352
187,207.2939216,173838.1077,52807.81912,10667.99998,33.90139993,-109.9340682
188,207.2939217,173630.8437,52806.90472,10667.99998,33.90139811,-109.9363013
189,207.2939217,173423.5797,52806.29512,10667.99998,33.90139898,-109.9385343
190,207.2939218,173216.3157,52805.38072,10667.99998,33.90139707,-109.9407673
191,207.2939218,173008.7469,52804.46632,10667.99998,33.90139514,-109.9430036
192,207.2939218,172801.4829,52803.85672,10667.99998,33.90139589,-109.9452366
193,207.2939218,172594.2189,52802.94232,10667.99998,33.90139386,-109.9474696
194,207.2939218,172386.9549,52802.33272,10667.99998,33.90139453,-109.9497026
195,207.2939219,172179.6909,52801.41832,10667.99998,33.90139242,-109.9519357
196,207.2939219,171972.4269,52800.50392,10667.99998,33.90139027,-109.9541687
197,207.2939219,171765.1629,52799.89432,10667.99998,33.90139082,-109.9564017
198,207.2939219,171557.8989,52798.97992,10667.99998,33.90138859,-109.9586347
199,207.2939219,171350.6349,52798.06552,10667.99998,33.90138632,-109.9608678
200,207.2939219,171143.3709,52797.45592,10667.99998,33.90138675,-109.9631008
201,207.2939219,170936.1069,52796.54152,10667.99998,33.9013844,-109.9653338
202,207.2939219,170728.5381,52795.62712,10667.99998,33.90138202,-109.9675701
203,207.2939219,170521.2741,52795.01752,10667.99998,33.90138232,-109.9698031
204,207.2939219,170314.0101,52794.10312,10667.99998,33.90137985,-109.9720362
205,207.2939219,170106.7461,52793.49352,10667.99998,33.90138007,-109.9742692
206,207.2939219,169899.4821,52792.57912,10667.99998,33.90137752,-109.9765022
207,207.2939219,169692.2181,52791.66472,10667.99998,33.90137493,-109.9787352
208,207.2939219,169484.9541,52791.05512,10667.99998,33.90137503,-109.9809683
209,207.2939219,169277.6901,52790.14072,10667.99998,33.90137235,-109.9832013
210,207.2939219,169070.4261,52789.22632,10667.99998,33.90136964,-109.9854343
211,207.2939219,168863.1621,52788.61672,10667.99998,33.90136962,-109.9876674
212,207.2939219,168655.8981,52787.70232,10667.99998,33.90136683,-109.9899004
213,207.2939219,168448.3293,52786.78792,10667.99998,33.901364,-109.9921367
214,207.2939219,168241.0653,52786.17832,10667.99998,33.90136386,-109.9943697
215,207.2939219,168033.8013,52785.26392,10667.99998,33.90136094,-109.9966028
216,207.2939219,167826.5373,52784.65432,10667.99998,33.90136072,-109.9988358
217,207.2939219,167619.2733,52783.73992,10667.99998,33.90135772,-110.0010688
218,207.2939219,167412.0093,52782.82552,10667.99998,33.90135468,-110.0033019
219,207.2939219,167204.7453,52782.21592,10667.99998,33.90135434,-110.0055349
220,207.2939219,166997.4813,52781.30152,10667.99998,33.90135122,-110.0077679
221,207.2939219,166790.2173,52780.38712,10667.99998,33.90134806,-110.010001
222,207.2939219,166582.9533,52779.77752,10667.99998,33.90134759,-110.012234
223,207.2939219,166375.3845,52778.86312,10667.99998,33.90134436,-110.0144703
224,207.2939219,166168.1205,52777.94872,10667.99998,33.90134108,-110.0167034
225,207.2939219,165960.8565,52777.33912,10667.99998,33.90134049,-110.0189364
226,207.2939219,165753.5925,52776.42472,10667.99998,33.90133713,-110.0211694
227,207.2939219,165546.3285,52775.81512,10667.99998,33.90133646,-110.0234025
228,207.2939219,165339.0645,52774.90072,10667.99998,33.90133302,-110.0256355
229,207.2939219,165131.8005,52773.98632,10667.99998,33.90132954,-110.0278686
230,207.2939219,164924.5365,52773.37672,10667.99998,33.90132875,-110.0301016
231,207.2939219,164717.2725,52772.46232,10667.99998,33.90132518,-110.0323346
232,207.2939219,164510.0085,52771.54792,10667.99998,33.90132158,-110.0345677
233,207.2939219,164302.7446,52770.93832,10667.99998,33.90132067,-110.0368007
234,207.2939219,164095.1758,52770.02392,10667.99998,33.90131699,-110.039037
235,207.2939219,163887.9118,52769.10952,10667.99998,33.90131326,-110.0412701
236,207.2939219,163680.6478,52768.49992,10667.99998,33.90131223,-110.0435031
237,207.2939219,163473.3838,52767.58552,10667.99998,33.90130842,-110.0457362
238,207.2939219,163266.1198,52766.67112,10667.99998,33.90130457,-110.0479692
239,207.2939219,163058.8558,52766.06152,10667.99998,33.90130342,-110.0502023
240,207.2939219,162851.5918,52765.14712,10667.99998,33.90129949,-110.0524353
241,207.2939219,162644.3278,52764.53752,10667.99998,33.90129826,-110.0546683
242,207.2939219,162437.0638,52763.62312,10667.99998,33.90129425,-110.0569014
243,207.2939219,162229.7998,52762.70872,10667.99998,33.9012902,-110.0591344
244,207.2939219,162022.5358,52762.09912,10667.99998,33.90128884,-110.0613675
245,207.2939219,161814.967,52761.18472,10667.99998,33.90128472,-110.0636038
246,207.2939219,161607.703,52760.27032,10667.99998,33.90128054,-110.0658369
247,207.2939219,161400.439,52759.66072,10667.99998,33.90127907,-110.0680699
248,207.3800449,161193.175,52758.74632,10667.99998,33.90127481,-110.0703029
249,207.5219111,160985.911,52757.83192,10667.99998,33.90127052,-110.072536
250,207.6998335,160778.3422,52757.22232,10667.99998,33.90126893,-110.0747723
251,207.9010536,160570.7734,52756.30792,10667.99998,33.90126456,-110.0770087
252,208.1173027,160362.595,52755.69832,10667.99998,33.9012629,-110.0792515
253,208.3432211,160154.7214,52754.78392,10667.99998,33.90125845,-110.0814912
254,208.5753348,159946.2382,52753.86952,10667.99998,33.90125398,-110.0837373
255,208.8113911,159737.755,52753.25992,10667.99998,33.9012522,-110.0859835
256,209.0499294,159528.967,52752.34552,10667.99998,33.90124765,-110.088233
257,209.2900017,159319.8742,52751.43112,10667.99998,33.90124306,-110.0904857
258,209.5309928,159110.4766,52750.82152,10667.99998,33.90124117,-110.0927418
259,209.7725028,158901.079,52749.90712,10667.99998,33.90123651,-110.0949978
260,210.0142715,158691.3766,52748.99272,10667.99998,33.90123181,-110.0972571
261,210.2561291,158481.3694,52748.38312,10667.99998,33.90122981,-110.0995197
262,210.4979646,158271.0574,52747.46872,10667.99998,33.90122503,-110.1017856
263,210.7397049,158060.4406,52746.55432,10667.99998,33.90122022,-110.1040548
264,210.9813016,157849.8238,52745.94472,10667.99998,33.90121811,-110.106324
265,211.2227222,157638.9022,52745.03032,10667.99998,33.90121322,-110.1085964
266,211.4639446,157427.6758,52744.11592,10667.99998,33.90120829,-110.1108722
267,211.7049534,157216.1446,52743.50632,10667.99998,33.90120606,-110.1131512
268,211.9457377,157004.3086,52742.59192,10667.99998,33.90120106,-110.1154335
269,212.1862892,156792.4726,52741.67752,10667.99998,33.90119602,-110.1177158
270,212.4266017,156580.3318,52740.76312,10667.99998,33.90119094,-110.1200014
271,212.66667,156367.8862,52740.15352,10667.99998,33.90118855,-110.1222903
272,212.9064899,156155.1358,52739.23912,10667.99998,33.9011834,-110.1245824
273,213.1460574,155942.3854,52738.32472,10667.99998,33.90117819,-110.1268746
274,213.3853691,155729.0254,52737.71512,10667.99998,33.9011757,-110.1291733
275,213.6244218,155515.6654,52736.80072,10667.99998,33.90117042,-110.1314721
276,213.8632124,155302.0006,52735.88632,10667.99998,33.9011651,-110.1337741
277,214.1017379,155088.3358,52734.97192,10667.99998,33.90115974,-110.1360761
278,214.3399955,154874.0614,52734.36232,10667.99998,33.90115709,-110.1383847
279,214.5779822,154659.787,52733.44792,10667.99998,33.90115165,-110.1406933
280,214.8156954,154445.2078,52732.53352,10667.99998,33.90114617,-110.1430051
281,215.0531323,154230.3238,52731.92392,10667.99998,33.90114339,-110.1453203
282,215.2902902,154015.4398,52731.00952,10667.99998,33.90113783,-110.1476354
283,215.5271663,153799.9462,52730.09512,10667.99998,33.90113223,-110.1499571
284,215.7637581,153584.4526,52729.18072,10667.99998,33.90112659,-110.1522788
285,216.0000629,153368.6542,52728.57112,10667.99998,33.90112365,-110.1546038
286,216.236078,153152.8558,52727.65672,10667.99998,33.90111792,-110.1569288
287,216.471801,152936.4478,52726.74232,10667.99998,33.90111216,-110.1592604
288,216.7072292,152720.0398,52725.82792,10667.99998,33.90110636,-110.161592
289,216.9423601,152503.327,52725.21832,10667.99998,33.90110325,-110.1639268
290,217.1771912,152286.3094,52724.30392,10667.99998,33.90109736,-110.166265
291,217.41172,152069.2918,52723.38952,10667.99998,33.90109143,-110.1686031
292,217.645944,151851.9694,52722.47512,10667.99998,33.90108545,-110.1709445
293,217.8798609,151634.3422,52721.56072,10667.99998,33.90107944,-110.1732892
294,218.1134681,151416.4102,52720.95112,10667.99998,33.90107612,-110.1756372
295,218.3467632,151198.1734,52720.03672,10667.99998,33.90107002,-110.1779885
296,218.579744,150979.9366,52719.12232,10667.99998,33.90106388,-110.1803398
297,218.8124079,150761.395,52718.20792,10667.99998,33.90105769,-110.1826943
298,219.0447528,150542.5486,52717.59832,10667.99998,33.90105421,-110.1850522
299,219.2767762,150323.3974,52716.68392,10667.99998,33.90104794,-110.1874133
300,219.508476,150104.2462,52715.76952,10667.99998,33.90104162,-110.1897744
301,219.7398497,149884.7902,52714.85512,10667.99998,33.90103526,-110.1921388
302,219.9708953,149665.0294,52713.94072,10667.99998,33.90102886,-110.1945065
303,220.2016103,149444.9638,52713.33112,10667.99998,33.90102516,-110.1968775
304,220.4319928,149224.8982,52712.41672,10667.99998,33.90101867,-110.1992485
305,220.6620404,149004.223,52711.50232,10667.99998,33.90101213,-110.201626
306,220.891751,148783.5478,52710.58792,10667.99998,33.90100556,-110.2040035
307,221.1211225,148562.8726,52709.67352,10667.99998,33.90099894,-110.2063811
308,221.3501528,148341.5878,52709.06392,10667.99998,33.90099501,-110.2087652
309,221.5788398,148120.303,52708.14952,10667.99998,33.9009883,-110.2111493
310,221.8071813,147898.7134,52707.23512,10667.99998,33.90098155,-110.2135367
311,222.0351754,147676.819,52706.32072,10667.99998,33.90097475,-110.2159274
312,222.26282,147454.9246,52705.40632,10667.99998,33.9009679,-110.2183181
313,222.4901132,147232.7254,52704.49192,10667.99998,33.90096101,-110.220712
314,222.7170529,147010.2214,52703.88232,10667.99998,33.90095682,-110.2231093
315,222.9436371,146787.4126,52702.96792,10667.99998,33.90094984,-110.2255098
316,223.169864,146564.6038,52702.05352,10667.99998,33.90094281,-110.2279103
317,223.3957316,146341.1854,52701.13912,10667.99998,33.90093574,-110.2303174
318,223.621238,146117.767,52700.22472,10667.99998,33.90092862,-110.2327245
319,223.8463814,145894.3486,52699.31032,10667.99998,33.90092146,-110.2351316
320,224.0711598,145670.3206,52698.70072,10667.99998,33.90091699,-110.2375453
321,224.2955715,145446.2926,52697.78632,10667.99998,33.90090973,-110.2399589
322,224.5196146,145221.9598,52696.87192,10667.99998,33.90090243,-110.2423759
323,224.7432874,144997.627,52695.95752,10667.99998,33.90089508,-110.2447928
324,224.966588,144772.6846,52695.04312,10667.99998,33.90088769,-110.2472163
325,225.1895147,144547.7422,52694.12872,10667.99998,33.90088024,-110.2496398
326,225.4120658,144322.7998,52693.21432,10667.99998,33.90087275,-110.2520634
327,225.6342396,144097.2478,52692.60472,10667.99998,33.90086796,-110.2544934
328,225.8560343,143871.6958,52691.69032,10667.99998,33.90086037,-110.2569235
329,226.0774484,143645.839,52690.77592,10667.99998,33.90085274,-110.2593569
330,226.2984801,143419.6774,52689.86152,10667.99998,33.90084506,-110.2617935
331,226.5191279,143193.5158,52688.94712,10667.99998,33.90083734,-110.2642302
332,226.7393901,142966.7446,52688.03272,10667.99998,33.90082956,-110.2666734
333,226.9592651,142740.2782,52687.11832,10667.99998,33.90082174,-110.2691133
334,227.1787514,142513.2022,52686.20392,10667.99998,33.90081387,-110.2715598
335,227.3978475,142286.1262,52685.59432,10667.99998,33.90080869,-110.2740063
336,227.6165517,142058.7454,52684.67992,10667.99998,33.90080073,-110.2764561
337,227.8348626,141831.0598,52683.76552,10667.99998,33.90079271,-110.2789091
338,228.0527787,141603.0694,52682.85112,10667.99998,33.90078465,-110.2813655
339,228.2702986,141375.079,52681.93672,10667.99998,33.90077653,-110.2838218
340,228.4874207,141146.7838,52681.02232,10667.99998,33.90076837,-110.2862815
341,228.7041437,140918.4886,52680.10792,10667.99998,33.90076016,-110.2887411
342,228.9204661,140689.5838,52679.19352,10667.99998,33.9007519,-110.2912073
343,229.1363852,140460.679,52678.27912,10667.99998,33.90074359,-110.2936735
344,229.3518988,140231.4694,52677.36472,10667.99998,33.90073523,-110.296143
345,229.5670058,140002.2598,52676.75512,10667.99998,33.90072956,-110.2986125
346,229.7817059,139772.7454,52675.84072,10667.99998,33.9007211,-110.3010852
347,229.9959986,139542.9262,52675.23112,10667.99998,33.90071533,-110.3035613
348,230.209883,139312.8022,52674.62152,10667.99998,33.90070951,-110.3060406
349,230.4233583,139082.6782,52673.70712,10667.99998,33.9007009,-110.3085199
350,230.6364233,138852.2494,52673.40232,10667.99998,33.90069772,-110.3110025
351,230.8490768,138621.5158,52672.79272,10667.99998,33.90069175,-110.3134884
352,231.0613176,138390.7822,52672.18312,10667.99998,33.90068573,-110.3159743
353,231.2731444,138159.7438,52671.87832,10667.99998,33.90068239,-110.3184635
354,231.4845557,137928.4006,52671.26872,10667.99998,33.90067627,-110.320956
355,231.6955504,137697.0574,52670.96392,10667.99998,33.90067283,-110.3234484
356,231.9061272,137465.4094,52670.35432,10667.99998,33.9006666,-110.3259442
357,232.1162848,137233.4566,52670.04952,10667.99998,33.90066306,-110.3284432
