Time[sec], V(tas)[m/s], x[m], y[m], h[m], Lat[deg], Lon[deg]
0,231.3474548,214699.5957,52966.31512,10667.99998,33.90076315,-109.4911782
1,231.3474548,214468.2525,52965.40072,10667.99998,33.9007549,-109.4936705
2,231.3497434,214236.6045,52964.48632,10667.99998,33.90074661,-109.4961661
3,231.3535106,214005.2613,52963.57192,10667.99998,33.90073826,-109.4986584
4,231.3581414,213773.9181,52962.65752,10667.99998,33.90072986,-109.5011507
5,231.3631795,213542.5749,52961.74312,10667.99998,33.90072142,-109.503643
6,231.3682954,213311.2317,52960.82872,10667.99998,33.90071292,-109.5061353
7,231.3732601,213079.8885,52959.91432,10667.99998,33.90070437,-109.5086276
8,231.3779224,212848.5453,52958.99992,10667.99998,33.90069578,-109.5111199
9,231.3821908,212617.2021,52958.08552,10667.99998,33.90068713,-109.5136122
10,231.3860183,212385.8589,52957.47592,10667.99998,33.90068117,-109.5161045
11,231.3893902,212154.5157,52956.56152,10667.99998,33.90067242,-109.5185968
12,231.3923146,211923.1725,52955.64712,10667.99998,33.90066362,-109.5210891
13,231.3948151,211691.8293,52954.73272,10667.99998,33.90065477,-109.5235814
14,231.3969247,211460.1813,52953.81832,10667.99998,33.90064587,-109.526077
15,231.3986818,211228.8381,52952.90392,10667.99998,33.90063691,-109.5285693
16,231.4001268,210997.4949,52951.98952,10667.99998,33.90062791,-109.5310616
17,231.4012999,210766.1517,52951.07512,10667.99998,33.90061886,-109.5335539
18,231.4022395,210534.8085,52950.16072,10667.99998,33.90060976,-109.5360462
19,231.4029813,210303.1605,52949.24632,10667.99998,33.9006006,-109.5385417
20,231.4035579,210071.8173,52948.33192,10667.99998,33.9005914,-109.541034
21,231.4039979,209840.4741,52947.41752,10667.99998,33.90058215,-109.5435263
22,231.4043267,209609.1309,52946.50312,10667.99998,33.90057284,-109.5460186
23,231.404566,209377.7877,52945.58872,10667.99998,33.90056349,-109.5485109
24,231.4047344,209146.1397,52944.67432,10667.99998,33.90055408,-109.5510065
25,231.4048474,208914.7965,52943.75992,10667.99998,33.90054463,-109.5534988
26,231.4049179,208683.4533,52942.84552,10667.99998,33.90053512,-109.5559911
27,231.4049563,208452.1101,52941.93112,10667.99998,33.90052557,-109.5584833
28,231.4049713,208220.7669,52941.32152,10667.99998,33.9005187,-109.5609756
29,231.4049696,207989.1189,52940.40712,10667.99998,33.90050904,-109.5634712
30,231.4049564,207757.7757,52939.49272,10667.99998,33.90049933,-109.5659635
31,231.404936,207526.4325,52938.57832,10667.99998,33.90048957,-109.5684558
32,231.4049114,207295.0893,52937.66392,10667.99998,33.90047976,-109.5709481
33,231.4048849,207063.7461,52936.74952,10667.99998,33.9004699,-109.5734403
34,231.4048582,206832.4029,52935.83512,10667.99998,33.90046,-109.5759326
35,231.4048323,206600.7549,52934.92072,10667.99998,33.90045003,-109.5784282
36,231.4048082,206369.4117,52934.00632,10667.99998,33.90044002,-109.5809205
37,231.4047861,206138.0685,52933.09192,10667.99998,33.90042996,-109.5834127
38,231.4047664,205906.7253,52932.17752,10667.99998,33.90041985,-109.585905
39,231.404749,205675.3821,52931.26312,10667.99998,33.90040969,-109.5883973
40,231.404734,205443.7341,52930.34872,10667.99998,33.90039948,-109.5908929
41,231.4047211,205212.3909,52929.43432,10667.99998,33.90038921,-109.5933851
42,231.4047103,204981.0477,52928.51992,10667.99998,33.9003789,-109.5958774
43,231.4047014,204749.7045,52927.60552,10667.99998,33.90036854,-109.5983697
44,231.404694,204518.3613,52926.69112,10667.99998,33.90035812,-109.600862
45,231.404688,204286.7133,52925.77672,10667.99998,33.90034766,-109.6033575
46,231.4046832,204055.3701,52925.16712,10667.99998,33.90033988,-109.6058498
47,231.4046795,203824.0269,52924.25272,10667.99998,33.90032932,-109.6083421
48,231.4046765,203592.6837,52923.33832,10667.99998,33.9003187,-109.6108343
49,231.4046743,203361.3405,52922.42392,10667.99998,33.90030804,-109.6133266
50,231.4046726,203129.6925,52921.50952,10667.99998,33.90029732,-109.6158221
51,231.4046714,202898.3493,52920.59512,10667.99998,33.90028655,-109.6183144
52,231.4046706,202667.0061,52919.68072,10667.99998,33.90027573,-109.6208067
53,231.40467,202435.6629,52918.76632,10667.99998,33.90026486,-109.6232989
54,231.4046697,202204.3197,52917.85192,10667.99998,33.90025395,-109.6257912
55,231.4046695,201972.6717,52916.93752,10667.99998,33.90024298,-109.6282868
56,231.4046694,201741.3285,52916.02312,10667.99998,33.90023196,-109.630779
57,231.4046695,201509.9853,52915.10872,10667.99998,33.90022089,-109.6332713
58,231.4046695,201278.6421,52914.19432,10667.99998,33.90020977,-109.6357635
59,231.4046697,201047.2989,52913.27992,10667.99998,33.9001986,-109.6382558
60,231.4046698,200815.6509,52912.36552,10667.99998,33.90018737,-109.6407513
61,231.4046699,200584.3077,52911.45112,10667.99998,33.9001761,-109.6432436
62,231.4046701,200352.9645,52910.53672,10667.99998,33.90016478,-109.6457358
63,231.4046702,200121.6213,52909.62232,10667.99998,33.90015341,-109.6482281
64,231.4046703,199890.2781,52909.01272,10667.99998,33.90014473,-109.6507204
65,231.4046704,199658.6301,52908.09832,10667.99998,33.90013325,-109.6532159
66,231.4046705,199427.2869,52907.18392,10667.99998,33.90012173,-109.6557081
67,231.4046706,199195.9437,52906.26952,10667.99998,33.90011015,-109.6582004
68,231.1573975,198964.6005,52905.35512,10667.99998,33.90009853,-109.6606926
69,230.750378,198733.2573,52904.44072,10667.99998,33.90008685,-109.6631849
70,230.240323,198502.5237,52903.52632,10667.99998,33.90007514,-109.6656706
71,229.6639718,198272.3997,52902.61192,10667.99998,33.90006338,-109.6681497
72,229.0451222,198042.8853,52901.69752,10667.99998,33.90005159,-109.6706222
73,228.3991854,197813.6757,52900.78312,10667.99998,33.90003974,-109.6730915
74,227.7361387,197585.3805,52899.86872,10667.99998,33.90002787,-109.6755509
75,227.0624383,197357.6949,52898.95432,10667.99998,33.90001595,-109.6780037
76,226.3822587,197130.6189,52898.03992,10667.99998,33.900004,-109.68045
77,225.6982963,196904.1525,52897.43032,10667.99998,33.89999475,-109.6828897
78,225.0122893,196678.2957,52896.51592,10667.99998,33.89998272,-109.6853228
79,224.3253554,196453.3533,52895.60152,10667.99998,33.89997065,-109.6877461
80,223.6382102,196229.0205,52894.68712,10667.99998,33.89995855,-109.6901628
81,222.9513087,196005.6021,52893.77272,10667.99998,33.89994642,-109.6925697
82,222.2649367,195782.4885,52892.85832,10667.99998,33.89993425,-109.6949733
83,221.5792711,195560.2893,52891.94392,10667.99998,33.89992205,-109.697367
84,220.8944176,195338.6997,52891.33432,10667.99998,33.89991255,-109.6997542
85,220.2104358,195117.7197,52890.41992,10667.99998,33.89990028,-109.7021347
86,219.5273558,194897.6541,52889.50552,10667.99998,33.89988797,-109.7045055
87,218.8451882,194678.1981,52888.59112,10667.99998,33.89987564,-109.7068696
88,218.163931,194459.3517,52887.67672,10667.99998,33.89986327,-109.7092272
89,217.4835742,194241.1149,52887.06712,10667.99998,33.8998536,-109.7115783
90,216.8041025,194023.4877,52886.15272,10667.99998,33.89984117,-109.7139227
91,216.1254969,193806.7749,52885.23832,10667.99998,33.8998287,-109.7162573
92,215.4477364,193590.6717,52884.32392,10667.99998,33.89981621,-109.7185854
93,214.7707983,193375.1781,52883.71432,10667.99998,33.89980642,-109.7209069
94,214.0946591,193160.2941,52882.79992,10667.99998,33.89979386,-109.7232218
95,213.4192943,192946.3245,52881.88552,10667.99998,33.89978128,-109.7255268
96,212.7446792,192732.9645,52880.97112,10667.99998,33.89976867,-109.7278253
97,212.0707887,192520.2141,52880.36152,10667.99998,33.89975876,-109.7301172
98,211.416777,192308.0733,52879.44712,10667.99998,33.89974609,-109.7324026
99,210.8025577,192096.5421,52878.53272,10667.99998,33.89973339,-109.7346814
100,210.2402228,191885.9253,52877.92312,10667.99998,33.8997234,-109.7369503
101,209.736009,191675.6133,52877.00872,10667.99998,33.89971064,-109.7392159
102,209.2918817,191465.9109,52876.09432,10667.99998,33.89969785,-109.741475
103,208.9067926,191256.5133,52875.48472,10667.99998,33.89968777,-109.7437308
104,208.5776645,191047.7253,52874.57032,10667.99998,33.89967492,-109.74598
105,208.3001483,190839.2421,52873.65592,10667.99998,33.89966203,-109.748226
106,208.0691939,190630.7589,52873.04632,10667.99998,33.89965184,-109.7504719
107,207.8794709,190422.8853,52872.13192,10667.99998,33.89963889,-109.7527113
108,207.7256688,190215.0117,52871.21752,10667.99998,33.8996259,-109.7549506
109,207.6027025,190007.1381,52870.60792,10667.99998,33.8996156,-109.75719
110,207.5058449,189799.5693,52869.69352,10667.99998,33.89960253,-109.7594261
111,207.4308038,189592.0005,52868.77912,10667.99998,33.89958942,-109.7616622
112,207.3737571,189384.7365,52868.16952,10667.99998,33.89957902,-109.763895
113,207.3313585,189177.1677,52867.25512,10667.99998,33.89956583,-109.7661311
114,207.3007226,188969.9037,52866.64552,10667.99998,33.89955535,-109.7683639
115,207.279396,188762.6397,52865.73112,10667.99998,33.89954208,-109.7705966
116,207.2653202,188555.3757,52864.81672,10667.99998,33.89952878,-109.7728294
117,207.2567907,188348.1117,52864.20712,10667.99998,33.89951817,-109.7750622
118,207.2524139,188140.8477,52863.29272,10667.99998,33.89950479,-109.777295
119,207.2510663,187933.5837,52862.37832,10667.99998,33.89949136,-109.7795278
120,207.2518544,187726.3197,52861.76872,10667.99998,33.89948064,-109.7817606
121,207.2540787,187519.0557,52860.85432,10667.99998,33.89946713,-109.7839934
122,207.2572011,187311.7917,52859.93992,10667.99998,33.89945359,-109.7862262
123,207.2608158,187104.5277,52859.33032,10667.99998,33.89944274,-109.788459
124,207.2646242,186897.2637,52858.41592,10667.99998,33.89942911,-109.7906917
