Time(sec),Vias_c(m/s)
60.000000,128.756575848021
61.000000,128.756575848021
62.000000,128.756575848021
63.000000,128.756575848021
64.000000,128.756575848021
65.000000,128.756575848021
66.000000,128.756575848021
67.000000,128.756575848021
68.000000,128.756575848021
69.000000,128.756575848021
70.000000,128.756575848021
71.000000,128.756575848021
72.000000,128.756575848021
73.000000,128.756575848021
74.000000,128.756575848021
75.000000,128.756575848021
76.000000,128.756575848021
77.000000,128.756575848021
78.000000,128.756575848021
79.000000,128.756575848021
80.000000,128.756575848021
81.000000,128.756575848021
82.000000,128.756575848021
83.000000,128.756575848021
84.000000,128.756575848021
85.000000,128.756575848021
86.000000,128.756575848021
87.000000,128.756575848021
88.000000,128.756575848021
89.000000,128.756575848021
90.000000,128.756575848021
91.000000,128.756575848021
92.000000,128.756575848021
93.000000,128.756575848021
94.000000,128.756575848021
95.000000,128.756575848021
96.000000,128.756575848021
97.000000,128.756575848021
98.000000,128.756575848021
99.000000,128.756575848021
100.000000,128.756575848021
101.000000,128.756575848021
102.000000,128.756575848021
103.000000,128.756575848021
104.000000,128.756575848021
105.000000,128.756575848021
106.000000,128.756575848021
107.000000,128.756575848021
108.000000,128.756575848021
109.000000,128.756575848021
110.000000,128.756575848021
111.000000,128.756575848021
112.000000,128.756575848021
113.000000,128.756575848021
114.000000,128.756575848021
115.000000,128.756575848021
116.000000,128.756575848021
117.000000,128.756575848021
118.000000,128.756575848021
119.000000,128.756575848021
120.000000,128.756575848021
121.000000,128.756575848021
122.000000,128.756575848021
123.000000,128.756575848021
124.000000,128.756575848021
125.000000,128.756575848021
126.000000,128.756575848021
127.000000,128.756575848021
128.000000,128.756575848021
129.000000,128.756575848021
130.000000,128.756575848021
131.000000,128.756575848021
132.000000,128.756575848021
133.000000,128.756575848021
134.000000,128.756575848021
135.000000,128.756575848021
136.000000,128.756575848021
137.000000,128.756575848021
138.000000,128.756575848021
139.000000,128.756575848021
140.000000,128.756575848021
141.000000,128.756575848021
142.000000,128.756575848021
143.000000,128.756575848021
144.000000,128.756575848021
145.000000,128.756575848021
146.000000,128.756575848021
147.000000,128.756575848021
148.000000,128.756575848021
149.000000,128.756575848021
150.000000,128.756575848021
151.000000,128.756575848021
152.000000,128.756575848021
153.000000,128.756575848021
154.000000,128.756575848021
155.000000,128.756575848021
156.000000,128.756575848021
157.000000,128.756575848021
158.000000,128.756575848021
159.000000,128.756575848021
160.000000,128.756575848021
161.000000,128.756575848021
162.000000,128.756575848021
163.000000,128.756575848021
164.000000,128.756575848021
165.000000,128.756575848021
166.000000,128.756575848021
167.000000,128.756575848021
168.000000,128.756575848021
169.000000,128.756575848021
170.000000,128.756575848021
171.000000,128.756575848021
172.000000,128.756575848021
173.000000,128.756575848021
174.000000,128.756575848021
175.000000,128.756575848021
176.000000,128.756575848021
177.000000,128.756575848021
178.000000,128.756575848021
179.000000,128.756575848021
180.000000,128.756575848021
181.000000,128.756575848021
182.000000,128.756575848021
183.000000,128.756575848021
184.000000,128.756575848021
185.000000,128.756575848021
186.000000,128.756575848021
187.000000,128.756575848021
188.000000,128.756575848021
189.000000,128.756575848021
190.000000,128.756575848021
191.000000,128.756575848021
192.000000,128.756575848021
193.000000,128.756575848021
194.000000,128.756575848021
195.000000,128.756575848021
196.000000,128.756575848021
197.000000,128.756575848021
198.000000,128.756575848021
199.000000,128.756575848021
200.000000,128.756575848021
201.000000,128.756575848021
202.000000,128.756575848021
203.000000,128.756575848021
204.000000,128.756575848021
205.000000,128.756575848021
206.000000,128.756575848021
207.000000,128.756575848021
208.000000,128.756575848021
209.000000,128.756575848021
210.000000,128.756575848021
211.000000,128.756575848021
212.000000,128.756575848021
213.000000,128.756575848021
214.000000,128.756575848021
215.000000,128.756575848021
216.000000,128.756575848021
217.000000,128.756575848021
218.000000,128.756575848021
219.000000,128.756575848021
220.000000,128.756575848021
221.000000,128.756575848021
222.000000,128.756575848021
223.000000,128.756575848021
224.000000,128.756575848021
225.000000,128.756575848021
226.000000,128.756575848021
227.000000,128.756575848021
228.000000,128.756575848021
229.000000,128.756575848021
230.000000,128.756575848021
231.000000,128.756575848021
232.000000,128.756575848021
233.000000,128.756575848021
234.000000,128.756575848021
235.000000,128.756575848021
236.000000,128.756575848021
237.000000,128.756575848021
238.000000,128.756575848021
239.000000,128.756575848021
240.000000,128.756575848021
241.000000,149.334353625798
242.000000,149.334353625798
243.000000,149.334353625798
244.000000,149.334353625798
245.000000,149.334353625798
246.000000,149.334353625798
247.000000,149.334353625798
248.000000,149.334353625798
249.000000,149.334353625798
250.000000,149.334353625798
251.000000,149.334353625798
252.000000,149.334353625798
253.000000,149.334353625798
254.000000,149.334353625798
255.000000,149.334353625798
256.000000,149.334353625798
257.000000,149.334353625798
258.000000,149.334353625798
259.000000,149.334353625798
260.000000,149.334353625798
261.000000,149.334353625798
262.000000,149.334353625798
263.000000,149.334353625798
264.000000,149.334353625798
265.000000,149.334353625798
266.000000,149.334353625798
267.000000,149.334353625798
268.000000,149.334353625798
269.000000,149.334353625798
270.000000,149.334353625798
271.000000,149.334353625798
272.000000,149.334353625798
273.000000,149.334353625798
274.000000,149.334353625798
275.000000,149.334353625798
276.000000,149.334353625798
277.000000,149.334353625798
278.000000,149.334353625798
279.000000,149.334353625798
280.000000,149.334353625798
281.000000,149.334353625798
282.000000,149.334353625798
283.000000,149.334353625798
284.000000,149.334353625798
285.000000,149.334353625798
286.000000,149.334353625798
287.000000,149.334353625798
288.000000,149.334353625798
289.000000,149.334353625798
290.000000,149.334353625798
291.000000,149.334353625798
292.000000,149.334353625798
293.000000,149.334353625798
294.000000,149.334353625798
295.000000,149.334353625798
296.000000,149.334353625798
297.000000,149.334353625798
298.000000,149.334353625798
299.000000,149.334353625798
300.000000,149.334353625798
301.000000,149.334353625798
302.000000,149.334353625798
303.000000,149.334353625798
304.000000,149.334353625798
305.000000,149.334353625798
306.000000,149.334353625798
307.000000,149.334353625798
308.000000,149.334353625798
309.000000,149.334353625798
310.000000,149.334353625798
311.000000,149.334353625798
312.000000,149.334353625798
313.000000,149.334353625798
314.000000,149.334353625798
315.000000,149.334353625798
316.000000,149.334353625798
317.000000,149.334353625798
318.000000,149.334353625798
319.000000,149.334353625798
320.000000,149.334353625798
321.000000,149.334353625798
322.000000,149.334353625798
323.000000,149.334353625798
324.000000,149.334353625798
325.000000,149.334353625798
326.000000,149.334353625798
327.000000,149.334353625798
328.000000,149.334353625798
329.000000,149.334353625798
330.000000,149.334353625798
331.000000,149.334353625798
332.000000,149.334353625798
333.000000,149.334353625798
334.000000,149.334353625798
335.000000,149.334353625798
336.000000,149.334353625798
337.000000,149.334353625798
338.000000,149.334353625798
339.000000,149.334353625798
340.000000,149.334353625798
341.000000,149.334353625798
342.000000,149.334353625798
343.000000,149.334353625798
344.000000,149.334353625798
345.000000,149.334353625798
346.000000,149.334353625798
347.000000,149.334353625798
348.000000,149.334353625798
349.000000,149.334353625798
350.000000,149.334353625798
351.000000,149.334353625798
352.000000,149.334353625798
353.000000,149.334353625798
354.000000,149.334353625798
355.000000,149.334353625798
356.000000,149.334353625798
357.000000,149.334353625798
358.000000,149.334353625798
359.000000,149.334353625798
360.000000,149.334353625798
361.000000,149.334353625798
362.000000,149.334353625798
363.000000,149.334353625798
364.000000,149.334353625798
365.000000,149.334353625798
366.000000,149.334353625798
367.000000,149.334353625798
368.000000,149.334353625798
369.000000,149.334353625798
370.000000,149.334353625798
371.000000,149.334353625798
372.000000,149.334353625798
373.000000,149.334353625798
374.000000,149.334353625798
375.000000,149.334353625798
376.000000,149.334353625798
377.000000,149.334353625798
378.000000,149.334353625798
379.000000,149.334353625798
380.000000,149.334353625798
381.000000,149.334353625798
382.000000,149.334353625798
383.000000,149.334353625798
384.000000,149.334353625798
385.000000,149.334353625798
386.000000,149.334353625798
387.000000,149.334353625798
388.000000,149.334353625798
389.000000,149.334353625798
390.000000,149.334353625798
391.000000,149.334353625798
392.000000,149.334353625798
393.000000,149.334353625798
394.000000,149.334353625798
395.000000,149.334353625798
396.000000,149.334353625798
397.000000,149.334353625798
398.000000,149.334353625798
399.000000,149.334353625798
400.000000,149.334353625798
401.000000,149.334353625798
402.000000,149.334353625798
403.000000,149.334353625798
404.000000,149.334353625798
405.000000,149.334353625798
406.000000,149.334353625798
407.000000,149.334353625798
408.000000,149.334353625798
409.000000,149.334353625798
410.000000,149.334353625798
411.000000,149.334353625798
412.000000,149.334353625798
413.000000,149.334353625798
414.000000,149.334353625798
415.000000,149.334353625798
416.000000,149.334353625798
417.000000,149.334353625798
418.000000,149.334353625798
419.000000,149.334353625798
420.000000,149.334353625798
421.000000,149.334353625798
422.000000,149.334353625798
423.000000,149.334353625798
424.000000,149.334353625798
425.000000,149.334353625798
426.000000,149.334353625798
427.000000,149.334353625798
428.000000,149.334353625798
