Time[sec], DTG[m], V(tas)[m/s], vRate[m/s], x[m], y[m], h[m], gs[fps]
32,237659.56908,243.781,-0.000,205936.71199,53136.15086,10668.00000,691.81983
33,237448.68198,243.781,-0.000,205725.82812,53134.98414,10668.00000,691.88681
34,237237.77451,243.781,-0.000,205514.92386,53133.82025,10668.00000,691.95365
35,237026.84670,243.781,-0.000,205303.99924,53132.65903,10668.00000,692.02038
36,236815.89859,243.781,-0.000,205093.05431,53131.50032,10668.00000,692.08699
37,236604.93020,243.781,-0.000,204882.08909,53130.34396,10668.00000,692.15352
38,236393.94155,243.781,-0.000,204671.10360,53129.18979,10668.00000,692.21996
39,236182.93268,243.780,-0.000,204460.09787,53128.03765,10668.00000,692.28633
40,235971.90360,243.780,-0.000,204249.07193,53126.88740,10668.00000,692.35263
41,235760.85434,243.780,-0.000,204038.02578,53125.73890,10668.00000,692.41886
42,235549.78490,243.780,-0.000,203826.95946,53124.59201,10668.00000,692.48502
43,235338.69532,243.780,-0.000,203615.87299,53123.44662,10668.00000,692.55113
44,235127.58561,243.780,-0.000,203404.76638,53122.30259,10668.00000,692.61717
45,234916.45578,243.780,-0.000,203193.63964,53121.15983,10668.00000,692.68316
46,234705.30586,243.780,-0.000,202982.49281,53120.01821,10668.00000,692.74909
47,234494.13586,243.780,-0.000,202771.32589,53118.87766,10668.00000,692.81496
48,234282.94580,243.780,-0.000,202560.13890,53117.73807,10668.00000,692.88078
49,234071.73569,243.780,-0.000,202348.93186,53116.59936,10668.00000,692.94655
50,233860.50555,243.780,-0.000,202137.70478,53115.46145,10668.00000,693.01227
51,233649.25539,243.780,-0.000,201926.45769,53114.32427,10668.00000,693.07795
52,233437.98523,243.780,-0.000,201715.19058,53113.18775,10668.00000,693.14357
53,233226.69508,243.780,-0.000,201503.90349,53112.05182,10668.00000,693.20915
54,233015.38495,243.780,-0.000,201292.59641,53110.91643,10668.00000,693.27469
55,232804.05486,243.780,-0.000,201081.26937,53109.78153,10668.00000,693.34019
56,232592.70482,243.780,-0.000,200869.92237,53108.64706,10668.00000,693.40565
57,232381.33484,243.780,-0.000,200658.55543,53107.51297,10668.00000,693.47106
58,232169.94493,243.780,-0.000,200447.16856,53106.37923,10668.00000,693.53645
59,231958.53510,243.780,-0.000,200235.76178,53105.24579,10668.00000,693.60180
60,231747.10537,243.780,-0.000,200024.33508,53104.11263,10668.00000,693.66711
61,231535.65574,243.780,-0.000,199812.88848,53102.97969,10668.00000,693.73239
62,231324.18621,243.780,-0.000,199601.42199,53101.84697,10668.00000,693.79765
63,231112.94623,243.527,-0.000,199390.18481,53100.75847,10668.00000,693.04457
64,230902.09648,243.111,-0.000,199179.33747,53099.74253,10668.00000,691.76439
