Time[sec], DTG[m], V(tas)[m/s], vRate[m/s], x[m], y[m], h[m], gs[fps]
342,176758.50911,242.648,-19.495,145036.45802,52822.57933,10538.92857,692.47167
343,176547.58026,242.696,-19.343,144825.51229,52825.16731,10519.43371,692.13126
344,176336.77037,242.745,-19.038,144614.68600,52827.66653,10500.09093,691.73590
345,176126.03675,242.791,-18.627,144403.93875,52829.64822,10481.05336,691.45855
346,175915.44884,242.832,-18.150,144193.33840,52831.40660,10462.42625,690.97011
347,175705.03158,242.859,-17.638,143982.91008,52832.90900,10444.27671,690.39921
348,175494.81159,242.870,-17.119,143772.68052,52834.13330,10426.63824,689.74123
349,175284.81557,242.864,-16.611,143562.67649,52835.06801,10409.51883,688.99642
350,175075.06938,242.841,-16.126,143352.92385,52835.71146,10392.90780,688.16807
351,174865.59743,242.800,-15.674,143143.44698,52836.07042,10376.78139,687.26108
352,174656.42236,242.742,-15.259,142934.26843,52836.15869,10361.10721,686.28139
353,174447.55813,242.668,-14.885,142725.40209,52835.99547,10345.84774,685.25724
354,174239.02398,242.579,-14.551,142516.86706,52835.60236,10330.96296,684.17127
355,174030.83572,242.476,-14.256,142308.67902,52835.00243,10316.41227,683.03444
356,173823.00569,242.361,-13.999,142100.85020,52834.21883,10302.15621,681.85793
357,173615.54325,242.237,-13.775,141893.38985,52833.27419,10288.15770,680.65127
358,173408.45526,242.105,-13.582,141686.30470,52832.19025,10274.38268,679.42252
359,173201.74645,241.967,-13.416,141479.59936,52830.98756,10260.80051,678.17860
360,172995.41964,241.824,-13.275,141273.27657,52829.68529,10247.38402,676.92553
361,172789.47604,241.677,-13.153,141067.33742,52828.30113,10234.10945,675.66862
362,172583.91535,241.527,-13.049,140861.78155,52826.85126,10220.95633,674.41268
363,172378.73592,241.376,-12.960,140656.60722,52825.35031,10207.90720,673.16214
364,172174.01420,241.223,-12.882,140451.89026,52823.91245,10194.94744,671.66012
365,171969.67016,241.070,-12.815,140247.55120,52822.43642,10182.06501,670.42126
366,171765.69689,240.920,-12.755,140043.58309,52820.92507,10169.24984,669.20506
367,171562.08570,240.772,-12.700,139839.97725,52819.38273,10156.49460,668.01735
368,171358.82627,240.629,-12.649,139636.72329,52817.81472,10143.79421,666.86351
369,171155.90672,240.490,-12.599,139433.80934,52816.22700,10131.14545,665.74859
370,170953.31372,240.356,-12.549,139231.22201,52814.62587,10118.54669,664.67734
371,170751.03258,240.228,-12.499,139028.94658,52813.01776,10105.99761,663.65427
372,170549.04729,240.107,-12.446,138826.96701,52811.40903,10093.49904,662.68365
373,170347.34062,239.993,-12.392,138625.26603,52809.80589,10081.05272,661.76952
374,170145.89417,239.886,-12.334,138423.82521,52808.21424,10068.66121,660.91570
375,169944.68846,239.787,-12.272,138222.62505,52806.63968,10056.32767,660.12574
376,169743.70300,239.697,-12.206,138021.64502,52805.08738,10044.05581,659.40296
377,169542.91675,239.615,-12.136,137820.86406,52803.56202,10031.84972,658.74922
378,169342.30961,239.542,-12.061,137620.26204,52802.06740,10019.71382,658.16136
379,169141.86297,239.477,-11.983,137419.82036,52800.60634,10007.65247,657.63455
380,168941.55972,239.418,-11.901,137219.52187,52799.18078,9995.66973,657.16391
381,168741.38423,239.365,-11.816,137019.35094,52797.79176,9983.76912,656.74458
382,168541.32229,239.318,-11.729,136819.29338,52796.43961,9971.95348,656.37181
383,168341.36116,239.275,-11.640,136619.33642,52795.12398,9960.22495,656.04097
384,168141.48941,239.236,-11.551,136419.46866,52793.84398,9948.58494,655.74757
385,167941.69694,239.200,-11.462,136219.68000,52792.59824,9937.03413,655.48736
386,167741.97489,239.166,-11.373,136019.96158,52791.38502,9925.57249,655.25625
387,167542.31556,239.135,-11.286,135820.30572,52790.20230,9914.19936,655.05040
388,167342.71236,239.105,-11.200,135620.70585,52789.04785,9902.91346,654.86619
389,167143.04626,239.076,-11.117,135421.04279,52787.94341,9891.71299,655.07253
390,166943.43629,239.043,-11.038,135221.43577,52786.85980,9880.59567,654.88834
391,166743.88115,239.008,-10.964,135021.88348,52785.79291,9869.55728,654.70847
392,166544.37986,238.973,-10.894,134822.38497,52784.73931,9858.59344,654.53179
393,166344.93178,238.936,-10.828,134622.93961,52783.69612,9847.69973,654.35723
394,166145.53657,238.897,-10.767,134423.54709,52782.66091,9836.87167,654.18376
395,165946.19420,238.856,-10.710,134224.20738,52781.63165,9826.10479,654.01040
396,165746.90492,238.814,-10.658,134024.92073,52780.60660,9815.39470,653.83623
397,165547.66925,238.769,-10.609,133825.68767,52779.58431,9804.73705,653.66037
398,165348.48794,238.723,-10.565,133626.50898,52778.56354,9794.12762,653.48199
399,165149.36202,238.674,-10.525,133427.38566,52777.54323,9783.56226,653.30029
400,164950.29272,238.622,-10.489,133228.31898,52776.52248,9773.03698,653.11451
401,164751.28151,238.569,-10.457,133029.31038,52775.50054,9762.54790,652.92395
402,164552.33005,238.513,-10.428,132830.36155,52774.47674,9752.09125,652.72789
403,164353.44022,238.454,-10.403,132631.47437,52773.45050,9741.66341,652.52569
404,164154.61406,238.393,-10.381,132432.65086,52772.42134,9731.26089,652.31683
405,163955.85357,238.329,-10.362,132233.89306,52771.38886,9720.88029,652.10135
406,163757.16070,238.263,-10.346,132035.20288,52770.35273,9710.51839,651.87950
407,163558.53730,238.194,-10.333,131836.58221,52769.31269,9700.17214,651.65156
408,163359.98517,238.123,-10.323,131638.03282,52768.26858,9689.83868,651.41778
409,163161.50598,238.050,-10.316,131439.55640,52767.22026,9679.51535,651.17843
410,162963.10137,237.975,-10.310,131241.15458,52766.16765,9669.19970,650.93378
411,162764.77286,237.898,-10.307,131042.82889,52765.11071,9658.88947,650.68407
412,162566.52193,237.819,-10.305,130844.58080,52764.04945,9648.58259,650.42957
413,162368.34996,237.737,-10.306,130646.41169,52762.98388,9638.27719,650.17051
414,162170.25826,237.655,-10.307,130448.32288,52761.91405,9627.97156,649.90714
415,161972.24809,237.570,-10.311,130250.31562,52760.84004,9617.66416,649.63968
416,161774.32062,237.484,-10.315,130052.39109,52759.76193,9607.35361,649.36835
417,161576.47696,237.396,-10.320,129854.55038,52758.67982,9597.03867,649.09338
418,161378.76137,237.306,-10.327,129656.83778,52757.59378,9586.71825,648.67318
419,161181.12907,237.217,-10.334,129459.20848,52756.50470,9576.39137,648.39994
420,160983.56320,237.126,-10.341,129261.64564,52755.40890,9566.05762,648.18202
421,160786.06172,237.034,-10.348,129064.14724,52754.30604,9555.71670,647.97074
422,160588.62475,236.941,-10.356,128866.71338,52753.19637,9545.36835,647.75912
423,160391.25238,236.847,-10.364,128669.34416,52752.08026,9535.01242,647.54716
424,160193.94474,236.753,-10.372,128472.03969,52750.95813,9524.64877,647.33482
425,159996.70195,236.657,-10.379,128274.80012,52749.83041,9514.27727,647.12203
426,159799.52420,236.560,-10.387,128077.62560,52748.69754,9503.89782,646.90870
427,159602.41166,236.463,-10.396,127880.51633,52747.55992,9493.51034,646.69474
428,159405.36455,236.364,-10.404,127683.47251,52746.41794,9483.11474,646.48006
429,159208.38314,236.265,-10.412,127486.49441,52745.27194,9472.71092,646.26456
430,159011.46768,236.089,-8.559,127289.58229,52744.12223,9462.29882,646.04815
431,158814.54516,236.025,-7.448,127092.66320,52742.95355,9453.73955,646.07138
432,158617.73277,235.863,-6.805,126895.85431,52741.77287,9446.29133,645.71007
433,158421.09712,235.645,-6.461,126699.22220,52740.58477,9439.48647,645.13024
434,158224.67715,235.394,-6.310,126502.80580,52739.39285,9433.02591,644.42264
435,158028.49606,235.123,-6.288,126306.62828,52738.20029,9426.71564,643.63891
436,157832.56775,234.841,-6.350,126110.70354,52737.00998,9420.42805,642.80956
437,157636.90044,234.551,-6.469,125915.03977,52735.82455,9414.07819,641.95330
438,157441.49868,234.257,-6.627,125719.64152,52734.64637,9407.60900,641.08202
439,157246.36465,233.962,-6.810,125524.51095,52733.47751,9400.98209,640.20364
440,157051.49884,233.666,-7.011,125329.64855,52732.31970,9394.17176,639.32364
441,156856.90054,233.372,-7.221,125135.05359,52731.17434,9387.16122,638.44594
442,156662.56816,233.078,-7.438,124940.72448,52730.04245,9379.94001,637.57351
443,156468.49939,232.787,-7.657,124746.65892,52728.92474,9372.50231,636.70861
444,156274.69139,232.499,-7.875,124552.85404,52727.82158,9364.84574,635.85306
445,156081.14087,232.213,-8.092,124359.30658,52726.73305,9356.97054,635.00829
446,155887.84418,231.932,-8.304,124166.01287,52725.65895,9348.87896,634.17549
447,155694.79740,231.653,-8.512,123972.96900,52724.59888,9340.57482,633.35560
448,155501.99634,231.379,-8.713,123780.17078,52723.55222,9332.06315,632.54939
449,155309.43667,231.109,-8.908,123587.61388,52722.51817,9323.34998,631.75748
450,155117.11386,230.843,-9.095,123395.29379,52721.49584,9314.44205,630.98033
451,154925.02333,230.582,-9.275,123203.20592,52720.48423,9305.34671,630.21829
452,154733.16039,230.325,-9.446,123011.34560,52719.48226,9296.07176,629.47159
453,154541.51822,230.072,-9.610,122819.70606,52718.47863,9286.62531,628.74727
454,154350.09305,229.825,-9.763,122628.28348,52717.48218,9277.01570,628.03534
455,154158.87988,229.581,-9.906,122437.07287,52716.49244,9267.25261,627.33981
456,153967.87372,229.343,-10.040,122246.06924,52715.50878,9257.34620,626.66065
457,153777.06968,229.109,-10.163,122055.26770,52714.53045,9247.30666,625.99751
458,153586.46305,228.879,-10.276,121864.66355,52713.55669,9237.14388,625.34986
459,153396.04931,228.654,-10.381,121674.25227,52712.58671,9226.86740,624.71704
460,153205.82413,228.433,-10.477,121484.02955,52711.61976,9216.48634,624.09836
461,153015.78344,228.215,-10.565,121293.99130,52710.65514,9206.00935,623.49310
462,152825.92337,228.002,-10.645,121104.13366,52709.69221,9195.44469,622.90052
463,152636.24029,227.792,-10.717,120914.45301,52708.73043,9184.80014,622.31985
464,152446.73079,227.586,-10.783,120724.94595,52707.76929,9174.08309,621.75034
465,152257.39171,227.381,-10.798,120535.60930,52706.80841,9163.30053,621.19123
466,152068.21158,227.187,-10.795,120346.43161,52705.84554,9152.50206,620.66976
467,151879.18485,226.999,-10.788,120157.40734,52704.87943,9141.70663,620.16646
468,151690.30893,226.815,-10.783,119968.53390,52703.90950,9130.91849,619.67167
469,151501.58259,226.633,-10.782,119779.81007,52702.93560,9120.13555,619.18092
470,151313.00505,226.452,-10.785,119591.23507,52701.95781,9109.35358,618.69270
471,151124.57560,226.272,-10.792,119402.80817,52700.97630,9098.56820,618.20688
472,150936.29338,226.094,-10.802,119214.52852,52699.99126,9087.77574,617.72384
473,150748.15736,225.918,-10.814,119026.39510,52699.00287,9076.97356,617.24416
474,150560.16634,225.743,-10.826,118838.40669,52698.01124,9066.16001,616.76845
475,150372.31893,225.569,-10.838,118650.56192,52697.01644,9055.33434,616.29727
476,150184.61360,225.397,-10.849,118462.85924,52696.01846,9044.49653,615.83113
477,149997.04869,225.228,-10.860,118275.29701,52695.01720,9033.64716,615.37042
478,149809.62244,225.059,-10.869,118087.87345,52694.01254,9022.78727,614.91553
479,149622.33298,224.893,-10.877,117900.58670,52693.00424,9011.91822,614.46674
480,149435.17836,224.729,-10.882,117713.43482,52691.99207,9001.04159,614.02433
481,149248.15658,224.567,-10.886,117526.41580,52690.97570,8990.15916,613.58852
482,149061.28681,224.406,-10.888,117339.54874,52689.96848,8979.27277,613.08981
483,148874.54549,224.248,-10.889,117152.81017,52688.95649,8968.38432,612.66836
484,148687.93018,224.091,-10.887,116966.19763,52687.93838,8957.49574,612.25497
485,148501.43830,223.937,-10.883,116779.70857,52686.91303,8946.60898,611.85000
486,148315.06720,223.785,-10.877,116593.34033,52685.87949,8935.72601,611.45375
487,148128.81414,223.635,-10.870,116407.09018,52684.83699,8924.84876,611.06650
488,147942.67630,223.488,-10.860,116220.95531,52683.78490,8913.97911,610.68847
489,147756.65081,223.342,-10.849,116034.93284,52682.72268,8903.11885,610.31988
490,147570.72766,223.199,-10.836,115849.01280,52681.64430,8892.26972,609.98415
491,147384.89640,223.057,-10.822,115663.18476,52680.54355,8881.43336,609.68272
492,147199.15395,222.918,-10.806,115477.44567,52679.42049,8870.61131,609.39137
493,147013.49712,222.781,-10.789,115291.79230,52678.27580,8859.80504,609.11055
494,146827.92252,222.646,-10.771,115106.22129,52677.11041,8849.01591,608.84079
495,146642.15176,222.512,-10.751,114920.72921,52675.92555,8838.24518,608.58224
496,146456.49828,222.381,-10.731,114735.31262,52674.72262,8827.49401,608.33495
497,146271.02190,222.252,-10.719,114549.96805,52673.50309,8816.76350,608.09901
498,146085.47042,222.124,-10.725,114364.43716,52673.36379,8806.04474,608.69731
499,145899.64174,221.995,-10.743,114178.54647,52675.10252,8795.32005,609.90428
500,145713.38134,221.865,-10.763,113992.19161,52679.28537,8784.57754,611.55444
501,145526.57727,221.735,-10.779,113805.32257,52686.29433,8773.81435,613.51849
502,145339.15343,221.608,-10.786,113617.92976,52696.36599,8763.03517,615.69316
503,145151.06217,221.483,-10.781,113430.03165,52709.62487,8752.24947,617.99650
504,144962.27732,221.361,-10.765,113241.66454,52726.11242,8741.46865,620.36515
505,144772.78807,221.242,-10.739,113052.87469,52745.81141,8730.70395,622.75197
506,144582.59408,221.126,-10.705,112863.71262,52768.66591,8719.96509,625.12369
507,144391.70163,221.012,-10.667,112674.22937,52794.59694,8709.25969,627.45855
508,144200.12091,220.900,-10.625,112484.47418,52823.51430,8698.59306,629.74391
509,144007.86397,220.789,-10.581,112294.49330,52855.32514,8687.96839,631.97412
510,143814.94345,220.680,-10.538,112104.32950,52889.93986,8677.38711,634.14867
511,143621.34841,220.572,-10.496,111913.99533,52927.26036,8666.84921,636.34692
512,143427.11384,220.464,-10.455,111723.55373,52967.22931,8656.35359,638.42079
513,143232.24994,220.356,-10.417,111533.03860,53009.78555,8645.89840,640.45361
514,143036.76555,220.249,-10.382,111342.48172,53054.87824,8635.48123,642.45243
515,142840.66806,220.141,-10.349,111151.91315,53102.46668,8625.09938,644.42444
516,142643.96337,220.033,-10.320,110961.36174,53152.51976,8614.74998,646.37667
517,142446.65599,219.924,-10.293,110770.85553,53205.01512,8604.43013,648.31569
518,142248.74904,219.816,-10.267,110580.42207,53259.93821,8594.13722,650.24764
519,142050.24421,219.707,-10.243,110390.08854,53317.28132,8583.86987,652.17854
520,141851.14206,219.597,-10.219,110199.88220,53377.04263,8573.62701,654.11314
521,141651.44220,219.488,-10.197,110009.83066,53439.22521,8563.40754,656.05527
522,141451.14349,219.378,-10.177,109819.96210,53503.83622,8553.21012,658.00803
523,141250.24411,219.268,-10.158,109630.30537,53570.88611,8543.03322,659.97389
524,141048.74169,219.158,-10.141,109440.89010,53640.38791,8532.87509,661.95484
525,140846.63343,219.047,-10.126,109251.74674,53712.35660,8522.73386,663.95239
526,140643.91610,218.935,-10.113,109062.90657,53786.80860,8512.60756,665.96776
527,140440.58612,218.824,-10.102,108874.40159,53863.76123,8502.49419,668.00215
528,140236.63950,218.711,-10.094,108686.26448,53943.23226,8492.39173,670.05656
529,140032.07200,218.599,-10.086,108498.52860,54025.23967,8482.29822,672.13173
530,139826.87914,218.486,-10.081,108311.22798,54109.80135,8472.21176,674.22818
531,139621.05626,218.373,-10.078,108124.39731,54196.93495,8462.13055,676.34627
532,139414.59860,218.260,-10.076,107938.07194,54286.65768,8452.05287,678.48617
533,139207.50129,218.147,-10.069,107752.28790,54378.98625,8441.97712,680.64797
534,138999.79260,218.035,-10.054,107567.05551,54473.81614,8431.90774,682.72811
535,138791.54666,217.924,-10.031,107382.34631,54570.88734,8421.85388,684.59034
536,138582.64808,217.815,-10.006,107198.10527,54669.85916,8411.82277,686.15991
537,138373.13193,217.707,-9.981,107014.26195,54770.36285,8401.81722,687.40725
538,138163.32802,217.600,-9.964,106830.73989,54872.03614,8391.83584,688.33402
539,137953.30124,217.492,-9.952,106647.49325,54974.66312,8381.87226,689.06721
540,137743.12191,217.383,-9.945,106464.50244,55078.06390,8371.92064,689.58039
541,137532.82202,217.275,-9.942,106281.70481,55182.06005,8361.97580,689.99245
542,137322.44096,217.166,-9.944,106099.06465,55286.50627,8352.03331,690.27533
543,137112.01138,217.057,-9.948,105916.55056,55391.27899,8342.08950,690.44895
544,136901.56008,216.949,-9.954,105734.13545,55496.27436,8332.14147,690.53146
545,136691.10878,216.841,-9.962,105551.79618,55601.40608,8322.18701,690.53916
546,136480.67486,216.733,-9.972,105369.51326,55706.60335,8312.22452,690.48647
547,136270.27199,216.626,-9.981,105187.27047,55811.80890,8302.25296,690.38603
548,136059.91064,216.519,-9.991,105005.05442,55916.97709,8292.27168,690.24877
549,135849.59862,216.413,-10.001,104822.85420,56022.07226,8282.28046,690.08405
550,135639.34147,216.307,-10.011,104640.66098,56127.06715,8272.27932,689.89982
551,135429.14281,216.203,-10.020,104458.46767,56231.94152,8262.26854,689.70276
552,135219.00471,216.099,-10.029,104276.26863,56336.68103,8252.24858,689.49842
553,135008.92789,215.996,-10.036,104094.05939,56441.27610,8242.22002,689.29141
554,134798.91203,215.894,-10.044,103911.83640,56545.72105,8232.18357,689.08545
555,134588.95593,215.792,-10.050,103729.59687,56650.01332,8222.13997,688.88359
556,134379.05770,215.692,-10.055,103547.33861,56754.15284,8212.09003,688.68820
557,134169.21496,215.593,-10.060,103365.05993,56858.14152,8202.03460,688.50096
558,133959.42500,215.494,-10.064,103182.75968,56961.98280,8191.97450,688.32296
559,133749.68494,215.396,-10.067,103000.43713,57065.68134,8181.91055,688.15491
560,133539.99172,215.299,-10.069,102818.09185,57169.24264,8171.84354,687.99725
561,133330.34226,215.203,-10.071,102635.72370,57272.67282,8161.77420,687.85015
562,133120.73344,215.107,-10.072,102453.33274,57375.97836,8151.70320,687.71363
563,132911.16221,215.012,-10.073,102270.91919,57479.16596,8141.63114,687.58753
564,132701.62557,214.917,-10.073,102088.48339,57582.24240,8131.55858,687.47158
565,132492.12063,214.823,-10.072,101906.02579,57685.21442,8121.48599,687.36542
566,132282.65096,214.729,-10.071,101723.55223,57788.08520,8111.41380,687.24784
567,132073.21494,214.635,-10.070,101541.06421,57890.86074,8101.34236,687.13578
568,131863.81019,214.542,-10.069,101358.56249,57993.54731,8091.27195,687.03177
569,131654.43447,214.449,-10.068,101176.04785,58096.15093,8081.20280,686.93530
570,131445.08569,214.355,-10.066,100993.52109,58198.67734,8071.13508,686.84587
571,131235.74967,214.262,-10.065,100810.93906,58301.07814,8061.06890,686.80229
572,131026.43766,214.169,-10.063,100628.34667,58403.41091,8051.00434,686.72278
573,130817.14720,214.075,-10.061,100445.74644,58505.68523,8040.94143,686.65153
574,130607.87630,213.981,-10.060,100263.14053,58607.90912,8030.88009,686.58691
575,130398.62338,213.887,-10.059,100080.53086,58710.08926,8020.82019,686.52757
576,130189.38720,213.792,-10.058,99897.91912,58812.23122,8010.76155,686.47237
577,129980.16681,213.697,-10.057,99715.30681,58914.33970,8000.70396,686.42035
578,129770.96149,213.602,-10.056,99532.69531,59016.41860,7990.64717,686.37071
579,129561.77074,213.506,-10.056,99350.08587,59118.47124,7980.59094,686.32278
580,129352.59421,213.410,-10.056,99167.47966,59220.50043,7970.53498,686.27598
581,129143.43172,213.313,-10.056,98984.87778,59322.50854,7960.47902,686.22982
582,128934.28320,213.216,-10.057,98802.28131,59424.49762,7950.42279,686.18391
583,128725.14869,213.119,-10.058,98619.69127,59526.46944,7940.36598,686.13788
584,128516.02832,213.021,-10.059,98437.10866,59628.42553,7930.30832,686.09144
585,128306.92230,212.922,-10.060,98254.53447,59730.36723,7920.24952,686.04430
586,128097.83092,212.823,-10.062,98071.96967,59832.29571,7910.18929,685.99624
587,127888.75451,212.724,-10.064,97889.41517,59934.21189,7900.12735,685.94707
588,127679.69345,212.624,-10.066,97706.87162,60036.11620,7890.06345,685.89672
589,127470.64810,212.523,-10.069,97524.33944,60138.00861,7879.99731,685.84512
590,127261.61887,212.423,-10.071,97341.81883,60239.88866,7869.92874,685.79222
591,127052.60615,212.322,-10.074,97159.30977,60341.75552,7859.85755,685.73804
592,126843.61031,212.221,-10.077,96976.81208,60443.60808,7849.78360,685.68260
593,126634.63172,212.120,-10.080,96794.32539,60545.44495,7839.70682,685.62599
594,126425.67069,212.019,-10.083,96611.84920,60647.26457,7829.62714,685.56832
595,126216.72750,211.918,-10.085,96429.38290,60749.06526,7819.54456,685.50975
596,126007.80236,211.817,-10.088,96246.92574,60850.84524,7809.45911,685.45044
597,125798.89544,211.716,-10.091,96064.47690,60952.60271,7799.37085,685.39062
598,125590.00683,211.616,-10.094,95882.03549,61054.33585,7789.27989,685.33050
599,125381.13654,211.515,-10.096,95699.60052,61156.04290,7779.18636,685.27033
600,125172.28450,211.415,-10.098,95517.17097,61257.72214,7769.09042,685.21036
601,124963.48275,211.315,-10.100,95334.80576,61359.41359,7758.99224,685.04551
602,124754.70015,211.214,-10.102,95152.44540,61461.07438,7748.89203,684.98262
603,124545.93676,211.114,-10.104,94970.08670,61562.69862,7738.78981,684.91947
604,124337.19220,211.015,-10.105,94787.72671,61664.28183,7728.68580,684.85765
605,124128.46562,210.917,-10.106,94605.36263,61765.82066,7718.58036,684.79855
606,123919.75586,210.820,-10.107,94422.99180,61867.31275,7708.47394,684.74331
607,123711.06147,210.724,-10.107,94240.61164,61968.75648,7698.36706,684.69290
608,123502.38072,210.628,-10.106,94058.21967,62070.15088,7688.26029,684.64815
609,123293.71168,210.534,-10.105,93875.81342,62171.49553,7678.15420,684.60978
610,123085.05223,210.441,-10.103,93693.39046,62272.79039,7668.04940,684.57841
611,122876.40009,210.349,-10.100,93510.94836,62374.03581,7657.94649,684.55459
612,122667.75282,210.259,-10.097,93328.48467,62475.23241,7647.84611,684.53880
613,122459.10239,210.169,-10.094,93145.98979,62576.37942,7637.74886,684.54941
614,122250.45156,210.080,-10.089,92963.46820,62677.47923,7627.65535,684.55101
615,122041.79747,209.993,-10.084,92780.91744,62778.53329,7617.56620,684.56205
616,121833.13718,209.907,-10.079,92598.33496,62879.54312,7607.48201,684.58280
617,121624.46769,209.822,-10.073,92415.71831,62980.51040,7597.40335,684.61336
618,121415.78618,209.739,-10.066,92233.06541,63081.43725,7587.33080,684.65329
619,121207.08996,209.656,-10.059,92050.37466,63182.32630,7577.26486,684.70201
620,120998.37656,209.574,-10.052,91867.64494,63283.18064,7567.20597,684.75890
621,120789.64369,209.492,-10.044,91684.87557,63384.00375,7557.15445,684.82330
622,120580.88963,209.411,-10.036,91502.06666,63484.79935,7547.11051,684.89333
623,120372.11330,209.330,-10.029,91319.21917,63585.57142,7537.07423,684.96686
624,120163.31317,209.249,-10.021,91136.33372,63686.32421,7527.04560,685.04543
625,119954.48795,209.167,-10.014,90953.41123,63787.06199,7517.02444,685.12814
626,119745.63667,209.086,-10.007,90770.45291,63887.78899,7507.01049,685.21405
627,119536.75861,209.004,-10.001,90587.46024,63988.50933,7497.00337,685.30222
628,119327.85336,208.921,-9.995,90404.43493,64089.22692,7487.00261,685.39169
629,119118.92080,208.837,-9.990,90221.37891,64189.94547,7477.00764,685.48148
630,118909.96113,208.753,-9.985,90038.29429,64290.66839,7467.01781,685.57062
631,118700.92475,208.668,-9.982,89855.12699,64391.40047,7457.03241,685.82276
632,118491.86058,208.582,-9.979,89671.93684,64492.14862,7447.05065,685.91389
633,118282.77019,208.494,-9.977,89488.72771,64592.91661,7437.07179,685.99977
634,118073.65574,208.405,-9.976,89305.50341,64693.70681,7427.09486,686.07853
635,117864.51987,208.313,-9.976,89122.26766,64794.52049,7417.11878,686.14858
636,117655.36566,208.220,-9.978,88939.02413,64895.35794,7407.14236,686.20851
637,117446.19655,208.125,-9.981,88755.77652,64996.21867,7397.16438,686.25711
638,117237.01633,208.028,-9.985,88572.52851,65097.10155,7387.18356,686.29328
639,117027.82909,207.929,-9.990,88389.28383,65198.00490,7377.19861,686.31607
640,116818.63916,207.827,-9.997,88206.04629,65298.92657,7367.20822,686.32458
641,116609.45116,207.724,-10.005,88022.81973,65399.86404,7357.21107,686.31801
642,116400.26991,207.618,-10.015,87839.60812,65500.81448,7347.20588,686.29560
643,116191.10047,207.510,-10.025,87656.41550,65601.77477,7337.19136,686.25664
644,115981.94810,207.399,-10.037,87473.24602,65702.74155,7327.16624,686.20043
645,115772.82656,207.286,-10.050,87290.10497,65803.69603,7317.12926,686.09925
646,115563.74376,207.171,-10.064,87106.99683,65904.62998,7307.07920,685.97218
647,115354.70550,207.053,-10.080,86923.92610,66005.53955,7297.01484,685.82607
648,115145.71726,206.933,-10.096,86740.89741,66106.42178,7286.93503,685.66202
649,114936.78397,206.811,-10.114,86557.91521,66207.27455,7276.83862,685.48174
650,114727.91012,206.687,-10.132,86374.98379,66308.09636,7266.72460,685.28682
651,114519.09970,206.561,-10.152,86192.10720,66408.88623,7256.59211,685.07868
652,114310.35635,206.434,-10.171,86009.28925,66509.64356,7246.44042,684.85867
653,114101.68328,206.305,-10.192,85826.53345,66610.36803,7236.26898,684.62804
654,113893.08338,206.175,-10.212,85643.84307,66711.05959,7226.07741,684.38797
655,113684.55918,206.044,-10.232,85461.22108,66811.71838,7215.86551,684.13956
656,113476.11288,205.912,-10.253,85278.67015,66912.34466,7205.63322,683.88390
657,113267.74638,205.780,-10.273,85096.19269,67012.93888,7195.38063,683.62201
658,113059.46126,205.647,-10.292,84913.79082,67113.50155,7185.10802,683.35489
659,112851.25881,205.514,-10.311,84731.46636,67214.03334,7174.81575,683.08353
660,112643.14003,205.381,-10.330,84549.22088,67314.53499,7164.50435,682.80888
661,112435.10563,205.248,-10.348,84367.05568,67415.00738,7154.17444,682.53189
662,112227.19503,205.116,-10.365,84184.99029,67515.40450,7143.82677,682.12592
663,112019.36949,204.985,-10.380,84003.00253,67615.77293,7133.46217,681.85739
664,111811.69131,204.855,-10.394,83821.09328,67716.11662,7123.08198,681.59267
665,111604.16639,204.726,-10.412,83639.26319,67816.43926,7112.68750,681.33189
666,111397.10110,204.598,-10.444,83457.20743,67915.64582,7102.27576,680.22061
667,111190.70395,204.468,-10.490,83274.70472,68012.88741,7091.83172,678.45330
668,110985.11525,204.339,-10.541,83091.60727,68107.51345,7081.34217,676.19347
669,110780.42574,204.210,-10.592,82907.83019,68199.04021,7070.80067,673.58097
670,110576.68898,204.084,-10.636,82723.34013,68287.12608,7060.20833,670.73481
671,110373.93009,203.963,-10.668,82538.14358,68371.54926,7049.57252,667.75400
672,110172.15239,203.846,-10.686,82352.27570,68452.18649,7038.90489,664.71814
673,109971.34279,203.734,-10.689,82165.79056,68528.99255,7028.21926,661.68839
674,109771.47631,203.628,-10.680,81978.75303,68601.98153,7017.52987,658.70922
675,109572.51997,203.527,-10.658,81791.23271,68671.21001,7006.85010,655.81070
676,109374.43595,203.431,-10.627,81603.29961,68736.76297,6996.19171,653.01112
677,109177.18430,203.338,-10.588,81415.02137,68798.74219,6985.56444,650.31942
678,108980.72503,203.249,-10.544,81226.46160,68857.25684,6974.97597,647.73743
679,108785.01959,203.163,-10.495,81037.67920,68912.41684,6964.43207,645.26221
680,108590.03183,203.080,-10.444,80848.72824,68964.32828,6953.93679,642.88778
681,108395.72862,202.998,-10.391,80659.65821,69013.09051,6943.49280,640.60641
682,108202.08012,202.919,-10.338,80470.51450,69058.79439,6933.10162,638.40954
683,108009.05978,202.840,-10.284,80281.33892,69101.52157,6922.76391,636.28853
684,107816.64427,202.763,-10.231,80092.17030,69141.34442,6912.47967,634.23502
685,107624.81316,202.687,-10.179,79903.04500,69178.32638,6902.24845,632.24130
686,107433.54868,202.611,-10.128,79713.99735,69212.52262,6892.06945,630.30047
687,107242.83536,202.537,-10.078,79525.06008,69243.98098,6881.94168,628.40648
688,107052.65967,202.463,-10.029,79336.26465,69272.74280,6871.86403,626.55416
689,106863.00967,202.390,-9.981,79147.64147,69298.84388,6861.83532,624.73922
